Assets,Liabilities,Equity,Date
"{'Loans Outstanding': 2200117.7, 'Cash Reserves': 905812.3, 'NOSTRO Account': 413549, 'Total Assets': 3519479.0}","{'Customer Deposits': 5008551.0, 'Total Liabilities': 5008551.0}","{'Fee Income': 24872.300000000003, 'Interest Income': 10928, 'Total Equity': 35800.3}",2024-09-15
"{'Loans Outstanding': 2376720.2, 'Cash Reserves': 883973.5, 'NOSTRO Account': 308560, 'Total Assets': 3569253.7}","{'Customer Deposits': 5045765.7, 'Total Liabilities': 5045765.7}","{'Fee Income': 49520.100000000006, 'Interest Income': 23488, 'Total Equity': 73008.1}",2024-09-16
"{'Loans Outstanding': 2504464.4000000004, 'Cash Reserves': 955072.7000000001, 'NOSTRO Account': 170605, 'Total Assets': 3630142.1000000006}","{'Customer Deposits': 5099295.100000001, 'Total Liabilities': 5099295.100000001}","{'Fee Income': 72933.5, 'Interest Income': 30847, 'Total Equity': 103780.5}",2024-09-17
"{'Loans Outstanding': 2619614.9000000004, 'Cash Reserves': 971759.3, 'NOSTRO Account': 98039, 'Total Assets': 3689413.2}","{'Customer Deposits': 5148347.2, 'Total Liabilities': 5148347.2}","{'Fee Income': 93400.9, 'Interest Income': 41066, 'Total Equity': 134466.9}",2024-09-18
"{'Loans Outstanding': 2828550.8000000003, 'Cash Reserves': 888423.6, 'NOSTRO Account': 37727, 'Total Assets': 3754701.4000000004}","{'Customer Deposits': 5202259.4, 'Total Liabilities': 5202259.4}","{'Fee Income': 125622.8, 'Interest Income': 52442, 'Total Equity': 178064.8}",2024-09-19
"{'Loans Outstanding': 3003293.9000000004, 'Cash Reserves': 762143.9, 'NOSTRO Account': 37727, 'Total Assets': 3803164.8000000003}","{'Customer Deposits': 5245553.800000001, 'Total Liabilities': 5245553.800000001}","{'Fee Income': 150479.30000000002, 'Interest Income': 57611, 'Total Equity': 208090.30000000002}",2024-09-20
"{'Loans Outstanding': 3226869.2, 'Cash Reserves': 557595.4000000001, 'NOSTRO Account': 37727, 'Total Assets': 3822191.6000000006}","{'Customer Deposits': 5250200.600000001, 'Total Liabilities': 5250200.600000001}","{'Fee Income': 176957.20000000004, 'Interest Income': 71991, 'Total Equity': 248948.20000000004}",2024-09-21
"{'Loans Outstanding': 3313517.6, 'Cash Reserves': 488238.5000000001, 'NOSTRO Account': 37727, 'Total Assets': 3839483.1}","{'Customer Deposits': 5256484.100000001, 'Total Liabilities': 5256484.100000001}","{'Fee Income': 188690.30000000005, 'Interest Income': 82999, 'Total Equity': 271689.30000000005}",2024-09-22
"{'Loans Outstanding': 3537502.4, 'Cash Reserves': 342979.10000000015, 'NOSTRO Account': 37727, 'Total Assets': 3918208.5}","{'Customer Deposits': 5323613.500000001, 'Total Liabilities': 5323613.500000001}","{'Fee Income': 222167.10000000006, 'Interest Income': 94595, 'Total Equity': 316762.1000000001}",2024-09-23
"{'Loans Outstanding': 3700685.0, 'Cash Reserves': 261678.4000000001, 'NOSTRO Account': 37727, 'Total Assets': 4000090.4}","{'Customer Deposits': 5392250.400000001, 'Total Liabilities': 5392250.400000001}","{'Fee Income': 248758.60000000006, 'Interest Income': 107840, 'Total Equity': 356598.6000000001}",2024-09-24
"{'Loans Outstanding': 3892309.4, 'Cash Reserves': 112824.7000000001, 'NOSTRO Account': 37727, 'Total Assets': 4042861.1}","{'Customer Deposits': 5421368.1000000015, 'Total Liabilities': 5421368.1000000015}","{'Fee Income': 275261.50000000006, 'Interest Income': 121493, 'Total Equity': 396754.50000000006}",2024-09-25
"{'Loans Outstanding': 3892309.4, 'Cash Reserves': 157043.8000000001, 'NOSTRO Account': 37727, 'Total Assets': 4087080.2}","{'Customer Deposits': 5453031.200000001, 'Total Liabilities': 5453031.200000001}","{'Fee Income': 279479.4000000001, 'Interest Income': 134049, 'Total Equity': 413528.4000000001}",2024-09-26
"{'Loans Outstanding': 3993754.6999999997, 'Cash Reserves': 76579.5000000001, 'NOSTRO Account': 37727, 'Total Assets': 4108061.1999999997}","{'Customer Deposits': 5462660.200000001, 'Total Liabilities': 5462660.200000001}","{'Fee Income': 292691.1000000001, 'Interest Income': 145401, 'Total Equity': 438092.1000000001}",2024-09-27
"{'Loans Outstanding': 4070863.9999999995, 'Cash Reserves': 44808.900000000096, 'NOSTRO Account': 37727, 'Total Assets': 4153399.8999999994}","{'Customer Deposits': 5500488.900000001, 'Total Liabilities': 5500488.900000001}","{'Fee Income': 306297.1000000001, 'Interest Income': 152911, 'Total Equity': 459208.1000000001}",2024-09-28
"{'Loans Outstanding': 4070863.9999999995, 'Cash Reserves': 90424.7000000001, 'NOSTRO Account': 37727, 'Total Assets': 4199015.699999999}","{'Customer Deposits': 5533278.700000001, 'Total Liabilities': 5533278.700000001}","{'Fee Income': 310592.3000000001, 'Interest Income': 165737, 'Total Equity': 476329.3000000001}",2024-09-29
"{'Loans Outstanding': 4208170.699999999, 'Cash Reserves': 23814.600000000093, 'NOSTRO Account': 37727, 'Total Assets': 4269712.299999999}","{'Customer Deposits': 5592330.300000001, 'Total Liabilities': 5592330.300000001}","{'Fee Income': 334432.0000000001, 'Interest Income': 177382, 'Total Equity': 511814.0000000001}",2024-09-30
