Assets,Liabilities,Equity,Date
"{'Loans Outstanding': 4208170.699999999, 'Cash Reserves': 28738.400000000096, 'NOSTRO Account': 37727, 'Total Assets': 4274636.1}","{'Customer Deposits': 5587944.100000001, 'Total Liabilities': 5587944.100000001}","{'Fee Income': 336042.2000000001, 'Interest Income': 186692, 'Total Equity': 522734.2000000001}",2024-10-01
"{'Loans Outstanding': 4283039.899999999, 'Cash Reserves': 13660.80000000009, 'NOSTRO Account': 37727, 'Total Assets': 4334427.699999999}","{'Customer Deposits': 5637037.7, 'Total Liabilities': 5637037.7}","{'Fee Income': 351437.40000000014, 'Interest Income': 197390, 'Total Equity': 548827.4000000001}",2024-10-02
"{'Loans Outstanding': 4283039.899999999, 'Cash Reserves': 90993.30000000009, 'NOSTRO Account': 37727, 'Total Assets': 4411760.199999999}","{'Customer Deposits': 5705116.2, 'Total Liabilities': 5705116.2}","{'Fee Income': 360920.90000000014, 'Interest Income': 206644, 'Total Equity': 567564.9000000001}",2024-10-03
"{'Loans Outstanding': 4415474.899999999, 'Cash Reserves': 9611.500000000087, 'NOSTRO Account': 37727, 'Total Assets': 4462813.399999999}","{'Customer Deposits': 5744268.4, 'Total Liabilities': 5744268.4}","{'Fee Income': 381002.7000000001, 'Interest Income': 218545, 'Total Equity': 599547.7000000002}",2024-10-04
"{'Loans Outstanding': 4415474.899999999, 'Cash Reserves': 21716.500000000087, 'NOSTRO Account': 37727, 'Total Assets': 4474918.399999999}","{'Customer Deposits': 5751307.4, 'Total Liabilities': 5751307.4}","{'Fee Income': 383450.7000000001, 'Interest Income': 223611, 'Total Equity': 607061.7000000002}",2024-10-05
"{'Loans Outstanding': 4415474.899999999, 'Cash Reserves': 40903.80000000009, 'NOSTRO Account': 37727, 'Total Assets': 4494105.699999999}","{'Customer Deposits': 5760341.7, 'Total Liabilities': 5760341.7}","{'Fee Income': 386691.40000000014, 'Interest Income': 233764, 'Total Equity': 620455.4000000001}",2024-10-06
"{'Loans Outstanding': 4480750.999999999, 'Cash Reserves': 25865.70000000009, 'NOSTRO Account': 37727, 'Total Assets': 4544343.699999999}","{'Customer Deposits': 5796036.7, 'Total Liabilities': 5796036.7}","{'Fee Income': 399385.30000000016, 'Interest Income': 248307, 'Total Equity': 647692.3000000002}",2024-10-07
"{'Loans Outstanding': 4536730.099999999, 'Cash Reserves': 35370.500000000095, 'NOSTRO Account': 37727, 'Total Assets': 4609827.599999999}","{'Customer Deposits': 5851914.600000001, 'Total Liabilities': 5851914.600000001}","{'Fee Income': 414159.30000000016, 'Interest Income': 257913, 'Total Equity': 672072.3000000002}",2024-10-08
"{'Loans Outstanding': 4536730.099999999, 'Cash Reserves': 59068.900000000096, 'NOSTRO Account': 37727, 'Total Assets': 4633525.999999999}","{'Customer Deposits': 5861852.000000001, 'Total Liabilities': 5861852.000000001}","{'Fee Income': 417914.90000000014, 'Interest Income': 271674, 'Total Equity': 689588.9000000001}",2024-10-09
"{'Loans Outstanding': 4536730.099999999, 'Cash Reserves': 99023.4000000001, 'NOSTRO Account': 37727, 'Total Assets': 4673480.499999999}","{'Customer Deposits': 5889397.500000001, 'Total Liabilities': 5889397.500000001}","{'Fee Income': 422443.40000000014, 'Interest Income': 284083, 'Total Equity': 706526.4000000001}",2024-10-10
"{'Loans Outstanding': 4619070.199999998, 'Cash Reserves': 93638.00000000009, 'NOSTRO Account': 37727, 'Total Assets': 4750435.199999998}","{'Customer Deposits': 5952122.200000001, 'Total Liabilities': 5952122.200000001}","{'Fee Income': 440782.60000000015, 'Interest Income': 298313, 'Total Equity': 739095.6000000001}",2024-10-11
"{'Loans Outstanding': 4684906.099999999, 'Cash Reserves': 71965.30000000008, 'NOSTRO Account': 37727, 'Total Assets': 4794598.3999999985}","{'Customer Deposits': 5986841.400000001, 'Total Liabilities': 5986841.400000001}","{'Fee Income': 452737.5000000001, 'Interest Income': 307757, 'Total Equity': 760494.5000000001}",2024-10-12
"{'Loans Outstanding': 4777504.3999999985, 'Cash Reserves': -2501.099999999933, 'NOSTRO Account': 37727, 'Total Assets': 4812730.299999999}","{'Customer Deposits': 5994497.300000002, 'Total Liabilities': 5994497.300000002}","{'Fee Income': 465389.3000000001, 'Interest Income': 318233, 'Total Equity': 783622.3}",2024-10-13
"{'Loans Outstanding': 4777504.3999999985, 'Cash Reserves': 50472.000000000065, 'NOSTRO Account': 37727, 'Total Assets': 4865703.3999999985}","{'Customer Deposits': 6037150.400000001, 'Total Liabilities': 6037150.400000001}","{'Fee Income': 472061.2000000001, 'Interest Income': 328553, 'Total Equity': 800614.2000000002}",2024-10-14
