Assets,Liabilities,Equity,Date
"{'Loans Outstanding': 2110981.7, 'Cash Reserves': 1036800.8, 'NOSTRO Account': 394443, 'Total Assets': 3542225.5}","{'Customer Deposits': 5035619.5, 'Total Liabilities': 5035619.5}","{'Fee Income': 19103.8, 'Interest Income': 6606, 'Total Equity': 25709.8}",2024-09-16
"{'Loans Outstanding': 2271588.5, 'Cash Reserves': 988267.3, 'NOSTRO Account': 304805, 'Total Assets': 3564660.8}","{'Customer Deposits': 5043349.8, 'Total Liabilities': 5043349.8}","{'Fee Income': 40796.7, 'Interest Income': 21311, 'Total Equity': 62107.7}",2024-09-17
"{'Loans Outstanding': 2379296.0, 'Cash Reserves': 1037248.8, 'NOSTRO Account': 196748, 'Total Assets': 3613292.8}","{'Customer Deposits': 5084618.8, 'Total Liabilities': 5084618.8}","{'Fee Income': 60192.2, 'Interest Income': 28674, 'Total Equity': 88866.2}",2024-09-18
"{'Loans Outstanding': 2460674.9, 'Cash Reserves': 1105411.4, 'NOSTRO Account': 108026, 'Total Assets': 3674112.3}","{'Customer Deposits': 5134165.3, 'Total Liabilities': 5134165.3}","{'Fee Income': 77254.8, 'Interest Income': 39947, 'Total Equity': 117201.8}",2024-09-19
"{'Loans Outstanding': 2682594.1999999997, 'Cash Reserves': 1049764.7999999998, 'NOSTRO Account': 11877, 'Total Assets': 3744235.9999999995}","{'Customer Deposits': 5198766.0, 'Total Liabilities': 5198766.0}","{'Fee Income': 111430.8, 'Interest Income': 45470, 'Total Equity': 156900.8}",2024-09-20
"{'Loans Outstanding': 2891323.9999999995, 'Cash Reserves': 860170.1999999997, 'NOSTRO Account': 11877, 'Total Assets': 3763371.1999999993}","{'Customer Deposits': 5210725.2, 'Total Liabilities': 5210725.2}","{'Fee Income': 137402.80000000002, 'Interest Income': 52646, 'Total Equity': 190048.80000000002}",2024-09-21
"{'Loans Outstanding': 3097421.2999999993, 'Cash Reserves': 676714.0999999996, 'NOSTRO Account': 11877, 'Total Assets': 3786012.399999999}","{'Customer Deposits': 5224006.4, 'Total Liabilities': 5224006.4}","{'Fee Income': 164824.30000000002, 'Interest Income': 62006, 'Total Equity': 226830.30000000002}",2024-09-22
"{'Loans Outstanding': 3311453.8999999994, 'Cash Reserves': 504934.6999999996, 'NOSTRO Account': 11877, 'Total Assets': 3828265.599999999}","{'Customer Deposits': 5255219.600000001, 'Total Liabilities': 5255219.600000001}","{'Fee Income': 193554.5, 'Interest Income': 73046, 'Total Equity': 266600.5}",2024-09-23
"{'Loans Outstanding': 3438947.8999999994, 'Cash Reserves': 408612.2999999996, 'NOSTRO Account': 11877, 'Total Assets': 3859437.1999999993}","{'Customer Deposits': 5277403.2, 'Total Liabilities': 5277403.2}","{'Fee Income': 212354.9, 'Interest Income': 82034, 'Total Equity': 294388.9}",2024-09-24
"{'Loans Outstanding': 3639565.0999999996, 'Cash Reserves': 269023.4999999996, 'NOSTRO Account': 11877, 'Total Assets': 3920465.599999999}","{'Customer Deposits': 5329423.600000001, 'Total Liabilities': 5329423.600000001}","{'Fee Income': 242377.3, 'Interest Income': 91042, 'Total Equity': 333419.3}",2024-09-25
