Assets,Liabilities,Equity,Date
"{'Loans Outstanding': 3755782.9999999995, 'Cash Reserves': 200404.2999999996, 'NOSTRO Account': 11877, 'Total Assets': 3968064.2999999993}","{'Customer Deposits': 5363903.300000001, 'Total Liabilities': 5363903.300000001}","{'Fee Income': 261204.69999999998, 'Interest Income': 104161, 'Total Equity': 365365.69999999995}",2024-09-26
"{'Loans Outstanding': 3976579.0999999996, 'Cash Reserves': 34823.5999999996, 'NOSTRO Account': 11877, 'Total Assets': 4023279.6999999993}","{'Customer Deposits': 5409134.700000001, 'Total Liabilities': 5409134.700000001}","{'Fee Income': 291349.2, 'Interest Income': 114145, 'Total Equity': 405494.2}",2024-09-27
"{'Loans Outstanding': 3976579.0999999996, 'Cash Reserves': 44494.8999999996, 'NOSTRO Account': 11877, 'Total Assets': 4032950.999999999}","{'Customer Deposits': 5409269.000000001, 'Total Liabilities': 5409269.000000001}","{'Fee Income': 292504.9, 'Interest Income': 123682, 'Total Equity': 416186.9}",2024-09-28
"{'Loans Outstanding': 3976579.0999999996, 'Cash Reserves': 54384.8999999996, 'NOSTRO Account': 11877, 'Total Assets': 4042840.999999999}","{'Customer Deposits': 5407550.000000001, 'Total Liabilities': 5407550.000000001}","{'Fee Income': 294676.9, 'Interest Income': 135291, 'Total Equity': 429967.9}",2024-09-29
"{'Loans Outstanding': 3976579.0999999996, 'Cash Reserves': 53679.49999999961, 'NOSTRO Account': 11877, 'Total Assets': 4042135.599999999}","{'Customer Deposits': 5395547.600000001, 'Total Liabilities': 5395547.600000001}","{'Fee Income': 296329.30000000005, 'Interest Income': 146588, 'Total Equity': 442917.30000000005}",2024-09-30
"{'Loans Outstanding': 3976579.0999999996, 'Cash Reserves': 83644.5999999996, 'NOSTRO Account': 11877, 'Total Assets': 4072100.6999999993}","{'Customer Deposits': 5416913.7, 'Total Liabilities': 5416913.7}","{'Fee Income': 300592.20000000007, 'Interest Income': 155187, 'Total Equity': 455779.20000000007}",2024-10-01
"{'Loans Outstanding': 4111413.4999999995, 'Cash Reserves': -8688.300000000396, 'NOSTRO Account': 11877, 'Total Assets': 4114602.1999999993}","{'Customer Deposits': 5450109.2, 'Total Liabilities': 5450109.2}","{'Fee Income': 322098.30000000005, 'Interest Income': 164493, 'Total Equity': 486591.30000000005}",2024-10-02
"{'Loans Outstanding': 4111413.4999999995, 'Cash Reserves': 74304.9999999996, 'NOSTRO Account': 11877, 'Total Assets': 4197595.499999999}","{'Customer Deposits': 5519835.5, 'Total Liabilities': 5519835.5}","{'Fee Income': 331556.00000000006, 'Interest Income': 177760, 'Total Equity': 509316.00000000006}",2024-10-03
"{'Loans Outstanding': 4240510.399999999, 'Cash Reserves': 1841.4999999996217, 'NOSTRO Account': 11877, 'Total Assets': 4254228.899999999}","{'Customer Deposits': 5567975.9, 'Total Liabilities': 5567975.9}","{'Fee Income': 354356.7, 'Interest Income': 186253, 'Total Equity': 540609.7}",2024-10-04
"{'Loans Outstanding': 4240510.399999999, 'Cash Reserves': 20395.79999999962, 'NOSTRO Account': 11877, 'Total Assets': 4272783.199999999}","{'Customer Deposits': 5577018.2, 'Total Liabilities': 5577018.2}","{'Fee Income': 356831.4, 'Interest Income': 195765, 'Total Equity': 552596.4}",2024-10-05
"{'Loans Outstanding': 4240510.399999999, 'Cash Reserves': 34872.69999999962, 'NOSTRO Account': 11877, 'Total Assets': 4287260.099999999}","{'Customer Deposits': 5580484.100000001, 'Total Liabilities': 5580484.100000001}","{'Fee Income': 358012.5, 'Interest Income': 206776, 'Total Equity': 564788.5}",2024-10-06
"{'Loans Outstanding': 4240510.399999999, 'Cash Reserves': 90982.59999999961, 'NOSTRO Account': 11877, 'Total Assets': 4343369.999999999}","{'Customer Deposits': 5624519.000000001, 'Total Liabilities': 5624519.000000001}","{'Fee Income': 365886.6, 'Interest Income': 218851, 'Total Equity': 584737.6}",2024-10-07
"{'Loans Outstanding': 4390607.899999999, 'Cash Reserves': 13052.199999999604, 'NOSTRO Account': 11877, 'Total Assets': 4415537.099999999}","{'Customer Deposits': 5686375.100000001, 'Total Liabilities': 5686375.100000001}","{'Fee Income': 390645.0, 'Interest Income': 229162, 'Total Equity': 619807.0}",2024-10-08
"{'Loans Outstanding': 4464150.499999999, 'Cash Reserves': 8766.899999999601, 'NOSTRO Account': 11877, 'Total Assets': 4484794.3999999985}","{'Customer Deposits': 5741853.4, 'Total Liabilities': 5741853.4}","{'Fee Income': 407592.10000000003, 'Interest Income': 242941, 'Total Equity': 650533.1000000001}",2024-10-09
"{'Loans Outstanding': 4464150.499999999, 'Cash Reserves': 63750.199999999604, 'NOSTRO Account': 11877, 'Total Assets': 4539777.699999998}","{'Customer Deposits': 5785012.7, 'Total Liabilities': 5785012.7}","{'Fee Income': 414166.80000000005, 'Interest Income': 254765, 'Total Equity': 668931.8}",2024-10-10
"{'Loans Outstanding': 4464150.499999999, 'Cash Reserves': 86111.1999999996, 'NOSTRO Account': 11877, 'Total Assets': 4562138.699999998}","{'Customer Deposits': 5794862.7, 'Total Liabilities': 5794862.7}","{'Fee Income': 416293.80000000005, 'Interest Income': 267276, 'Total Equity': 683569.8}",2024-10-11
"{'Loans Outstanding': 4539025.999999999, 'Cash Reserves': 15973.199999999604, 'NOSTRO Account': 11877, 'Total Assets': 4566876.199999998}","{'Customer Deposits': 5789509.2, 'Total Liabilities': 5789509.2}","{'Fee Income': 426605.80000000005, 'Interest Income': 277367, 'Total Equity': 703972.8}",2024-10-12
"{'Loans Outstanding': 4539025.999999999, 'Cash Reserves': 65023.99999999961, 'NOSTRO Account': 11877, 'Total Assets': 4615926.999999999}","{'Customer Deposits': 5824033.0, 'Total Liabilities': 5824033.0}","{'Fee Income': 431609.00000000006, 'Interest Income': 291894, 'Total Equity': 723503.0}",2024-10-13
"{'Loans Outstanding': 4539025.999999999, 'Cash Reserves': 56569.29999999961, 'NOSTRO Account': 11877, 'Total Assets': 4607472.299999999}","{'Customer Deposits': 5808850.3, 'Total Liabilities': 5808850.3}","{'Fee Income': 432858.70000000007, 'Interest Income': 298622, 'Total Equity': 731480.7000000001}",2024-10-14
"{'Loans Outstanding': 4539025.999999999, 'Cash Reserves': 82265.59999999961, 'NOSTRO Account': 11877, 'Total Assets': 4633168.599999999}","{'Customer Deposits': 5828736.6, 'Total Liabilities': 5828736.6}","{'Fee Income': 436041.4000000001, 'Interest Income': 304432, 'Total Equity': 740473.4000000001}",2024-10-15
