Assets,Liabilities,Equity,Date
"{'Loans Outstanding': 2164700, 'Cash Reserves': 1016792.0, 'NOSTRO Account': 382409, 'Total Assets': 3563901.0}","{'Customer Deposits': 5032487.4, 'Total Liabilities': 5032487.4}","{'Fee Income': 22130.6, 'Interest Income': 9283, 'Total Equity': 31413.6}",2024-09-16
"{'Loans Outstanding': 2291307, 'Cash Reserves': 1084222.7, 'NOSTRO Account': 268142, 'Total Assets': 3643671.7}","{'Customer Deposits': 5083811.4, 'Total Liabilities': 5083811.4}","{'Fee Income': 43404.3, 'Interest Income': 16456, 'Total Equity': 59860.3}",2024-09-17
"{'Loans Outstanding': 2431205, 'Cash Reserves': 1111977.5, 'NOSTRO Account': 177346, 'Total Assets': 3720528.5}","{'Customer Deposits': 5127201.100000001, 'Total Liabilities': 5127201.100000001}","{'Fee Income': 63627.40000000001, 'Interest Income': 29700, 'Total Equity': 93327.40000000001}",2024-09-18
"{'Loans Outstanding': 2524386, 'Cash Reserves': 1118340.6, 'NOSTRO Account': 115187, 'Total Assets': 3757913.6}","{'Customer Deposits': 5140764.000000001, 'Total Liabilities': 5140764.000000001}","{'Fee Income': 76191.60000000002, 'Interest Income': 40958, 'Total Equity': 117149.60000000002}",2024-09-19
"{'Loans Outstanding': 2654029, 'Cash Reserves': 1139869.9000000001, 'NOSTRO Account': 55266, 'Total Assets': 3849164.9000000004}","{'Customer Deposits': 5197362.100000001, 'Total Liabilities': 5197362.100000001}","{'Fee Income': 97309.80000000002, 'Interest Income': 54493, 'Total Equity': 151802.80000000002}",2024-09-20
"{'Loans Outstanding': 2820820, 'Cash Reserves': 1020972.0000000001, 'NOSTRO Account': 55266, 'Total Assets': 3897058.0}","{'Customer Deposits': 5212975.000000001, 'Total Liabilities': 5212975.000000001}","{'Fee Income': 118271.00000000003, 'Interest Income': 65812, 'Total Equity': 184083.00000000003}",2024-09-21
"{'Loans Outstanding': 2891120, 'Cash Reserves': 1083191.0, 'NOSTRO Account': 3095, 'Total Assets': 3977406.0}","{'Customer Deposits': 5268989.000000001, 'Total Liabilities': 5268989.000000001}","{'Fee Income': 134659.00000000003, 'Interest Income': 73758, 'Total Equity': 208417.00000000003}",2024-09-22
"{'Loans Outstanding': 3112622, 'Cash Reserves': 890809.2, 'NOSTRO Account': 3095, 'Total Assets': 4006526.2}","{'Customer Deposits': 5262778.800000001, 'Total Liabilities': 5262778.800000001}","{'Fee Income': 159152.40000000005, 'Interest Income': 84595, 'Total Equity': 243747.40000000005}",2024-09-23
"{'Loans Outstanding': 3173898, 'Cash Reserves': 919700.7999999999, 'NOSTRO Account': 3095, 'Total Assets': 4096693.8}","{'Customer Deposits': 5332850.100000001, 'Total Liabilities': 5332850.100000001}","{'Fee Income': 173929.70000000007, 'Interest Income': 89914, 'Total Equity': 263843.70000000007}",2024-09-24
"{'Loans Outstanding': 3267739, 'Cash Reserves': 831069.8999999999, 'NOSTRO Account': 3095, 'Total Assets': 4101903.9}","{'Customer Deposits': 5320278.4, 'Total Liabilities': 5320278.4}","{'Fee Income': 185141.5000000001, 'Interest Income': 96484, 'Total Equity': 281625.5000000001}",2024-09-25
"{'Loans Outstanding': 3513042, 'Cash Reserves': 666330.2, 'NOSTRO Account': 3095, 'Total Assets': 4182467.2}","{'Customer Deposits': 5360500.9, 'Total Liabilities': 5360500.9}","{'Fee Income': 215226.30000000008, 'Interest Income': 106740, 'Total Equity': 321966.30000000005}",2024-09-26
"{'Loans Outstanding': 3621480, 'Cash Reserves': 647141.0, 'NOSTRO Account': 3095, 'Total Assets': 4271716.0}","{'Customer Deposits': 5424545.9, 'Total Liabilities': 5424545.9}","{'Fee Income': 234018.10000000006, 'Interest Income': 113152, 'Total Equity': 347170.1000000001}",2024-09-27
"{'Loans Outstanding': 3684431, 'Cash Reserves': 671356.1, 'NOSTRO Account': 3095, 'Total Assets': 4358882.1}","{'Customer Deposits': 5486212.2, 'Total Liabilities': 5486212.2}","{'Fee Income': 247884.90000000008, 'Interest Income': 124785, 'Total Equity': 372669.9000000001}",2024-09-28
"{'Loans Outstanding': 3835238, 'Cash Reserves': 581052.8, 'NOSTRO Account': 3095, 'Total Assets': 4419385.8}","{'Customer Deposits': 5518060.8, 'Total Liabilities': 5518060.8}","{'Fee Income': 269449.00000000006, 'Interest Income': 131876, 'Total Equity': 401325.00000000006}",2024-09-29
"{'Loans Outstanding': 3931899, 'Cash Reserves': 560911.9, 'NOSTRO Account': 3095, 'Total Assets': 4495905.9}","{'Customer Deposits': 5571258.7, 'Total Liabilities': 5571258.7}","{'Fee Income': 286206.2, 'Interest Income': 138441, 'Total Equity': 424647.2}",2024-09-30
"{'Loans Outstanding': 4119442, 'Cash Reserves': 479651.2, 'NOSTRO Account': 3095, 'Total Assets': 4602188.2}","{'Customer Deposits': 5644308.3, 'Total Liabilities': 5644308.3}","{'Fee Income': 313995.9, 'Interest Income': 143884, 'Total Equity': 457879.9}",2024-10-01
"{'Loans Outstanding': 4231747, 'Cash Reserves': 451404.69999999995, 'NOSTRO Account': 3095, 'Total Assets': 4686246.7}","{'Customer Deposits': 5696080.5, 'Total Liabilities': 5696080.5}","{'Fee Income': 331834.2, 'Interest Income': 158332, 'Total Equity': 490166.2}",2024-10-02
"{'Loans Outstanding': 4386958, 'Cash Reserves': 330748.79999999993, 'NOSTRO Account': 3095, 'Total Assets': 4720801.8}","{'Customer Deposits': 5701272.7, 'Total Liabilities': 5701272.7}","{'Fee Income': 349095.1, 'Interest Income': 170434, 'Total Equity': 519529.1}",2024-10-03
"{'Loans Outstanding': 4520640, 'Cash Reserves': 255638.99999999994, 'NOSTRO Account': 3095, 'Total Assets': 4779374.0}","{'Customer Deposits': 5729284.4, 'Total Liabilities': 5729284.4}","{'Fee Income': 368608.6, 'Interest Income': 181481, 'Total Equity': 550089.6}",2024-10-04
"{'Loans Outstanding': 4600125, 'Cash Reserves': 186623.49999999994, 'NOSTRO Account': 3095, 'Total Assets': 4789843.5}","{'Customer Deposits': 5717231.2, 'Total Liabilities': 5717231.2}","{'Fee Income': 377699.3, 'Interest Income': 194913, 'Total Equity': 572612.3}",2024-10-05
"{'Loans Outstanding': 4730518, 'Cash Reserves': 145905.79999999993, 'NOSTRO Account': 3095, 'Total Assets': 4879518.8}","{'Customer Deposits': 5780592.100000001, 'Total Liabilities': 5780592.100000001}","{'Fee Income': 398491.69999999995, 'Interest Income': 200435, 'Total Equity': 598926.7}",2024-10-06
"{'Loans Outstanding': 4921493, 'Cash Reserves': 56326.29999999993, 'NOSTRO Account': 3095, 'Total Assets': 4980914.3}","{'Customer Deposits': 5846723.500000001, 'Total Liabilities': 5846723.500000001}","{'Fee Income': 427244.79999999993, 'Interest Income': 206946, 'Total Equity': 634190.7999999999}",2024-10-07
"{'Loans Outstanding': 4976430, 'Cash Reserves': 36001.99999999993, 'NOSTRO Account': 3095, 'Total Assets': 5015527.0}","{'Customer Deposits': 5859573.200000001, 'Total Liabilities': 5859573.200000001}","{'Fee Income': 435274.79999999993, 'Interest Income': 220679, 'Total Equity': 655953.7999999999}",2024-10-08
"{'Loans Outstanding': 4976430, 'Cash Reserves': 100729.99999999993, 'NOSTRO Account': 3095, 'Total Assets': 5080255.0}","{'Customer Deposits': 5904913.000000001, 'Total Liabilities': 5904913.000000001}","{'Fee Income': 443536.99999999994, 'Interest Income': 231805, 'Total Equity': 675342.0}",2024-10-09
"{'Loans Outstanding': 5055433, 'Cash Reserves': 99547.29999999994, 'NOSTRO Account': 3095, 'Total Assets': 5158075.3}","{'Customer Deposits': 5956479.100000001, 'Total Liabilities': 5956479.100000001}","{'Fee Income': 458098.19999999995, 'Interest Income': 243498, 'Total Equity': 701596.2}",2024-10-10
"{'Loans Outstanding': 5055433, 'Cash Reserves': 119550.29999999994, 'NOSTRO Account': 3095, 'Total Assets': 5178078.3}","{'Customer Deposits': 5968890.9, 'Total Liabilities': 5968890.9}","{'Fee Income': 460167.39999999997, 'Interest Income': 249020, 'Total Equity': 709187.3999999999}",2024-10-11
"{'Loans Outstanding': 5214025, 'Cash Reserves': 435.4999999999418, 'NOSTRO Account': 3095, 'Total Assets': 5217555.5}","{'Customer Deposits': 5975406.0, 'Total Liabilities': 5975406.0}","{'Fee Income': 479956.5, 'Interest Income': 262193, 'Total Equity': 742149.5}",2024-10-12
"{'Loans Outstanding': 5214025, 'Cash Reserves': 36651.49999999994, 'NOSTRO Account': 3095, 'Total Assets': 5253771.5}","{'Customer Deposits': 5995952.3, 'Total Liabilities': 5995952.3}","{'Fee Income': 484871.2, 'Interest Income': 272948, 'Total Equity': 757819.2}",2024-10-13
"{'Loans Outstanding': 5214025, 'Cash Reserves': 97115.49999999994, 'NOSTRO Account': 3095, 'Total Assets': 5314235.5}","{'Customer Deposits': 6045018.3, 'Total Liabilities': 6045018.3}","{'Fee Income': 491201.2, 'Interest Income': 278016, 'Total Equity': 769217.2}",2024-10-14
"{'Loans Outstanding': 5214025, 'Cash Reserves': 106868.49999999994, 'NOSTRO Account': 3095, 'Total Assets': 5323988.5}","{'Customer Deposits': 6043753.1, 'Total Liabilities': 6043753.1}","{'Fee Income': 492972.4, 'Interest Income': 287263, 'Total Equity': 780235.4}",2024-10-15
